species,link,species_id
celestae,https://www.nhm.ac.uk/discover/dino-directory/aardonyx.html,1
comahuensis,https://www.nhm.ac.uk/discover/dino-directory/abelisaurus.html,2
horneri,https://www.nhm.ac.uk/discover/dino-directory/achelousaurus.html,3
giganteus,https://www.nhm.ac.uk/discover/dino-directory/achillobator.html,4
atokensis,https://www.nhm.ac.uk/discover/dino-directory/acrocanthosaurus.html,5
baharijensis,https://www.nhm.ac.uk/discover/dino-directory/aegyptosaurus.html,6
abakensis,https://www.nhm.ac.uk/discover/dino-directory/afrovenator.html,7
louderbacki,https://www.nhm.ac.uk/discover/dino-directory/agilisaurus.html,8
sanjuanensis,https://www.nhm.ac.uk/discover/dino-directory/alamosaurus.html,9
nesmoi,https://www.nhm.ac.uk/discover/dino-directory/albertaceratops.html,10
libratus,https://www.nhm.ac.uk/discover/dino-directory/albertosaurus.html,11
olseni,https://www.nhm.ac.uk/discover/dino-directory/alectrosaurus.html,12
remotus,https://www.nhm.ac.uk/discover/dino-directory/alioramus.html,13
fragilis,https://www.nhm.ac.uk/discover/dino-directory/allosaurus.html,14
calvoi,https://www.nhm.ac.uk/discover/dino-directory/alvarezsaurus.html,15
cazaui,https://www.nhm.ac.uk/discover/dino-directory/amargasaurus.html,16
major,https://www.nhm.ac.uk/discover/dino-directory/ammosaurus.html,17
atacis,https://www.nhm.ac.uk/discover/dino-directory/ampelosaurus.html,18
patagonicus,https://www.nhm.ac.uk/discover/dino-directory/amygdalodon.html,19
ornatus,https://www.nhm.ac.uk/discover/dino-directory/anchiceratops.html,20
polyzelous,https://www.nhm.ac.uk/discover/dino-directory/anchisaurus.html,21
magniventris,https://www.nhm.ac.uk/discover/dino-directory/ankylosaurus.html,22
planinychus,https://www.nhm.ac.uk/discover/dino-directory/anserimimus.html,23
wichmannianus,https://www.nhm.ac.uk/discover/dino-directory/antarctosaurus.html,24
ajax,https://www.nhm.ac.uk/discover/dino-directory/apatosaurus.html,25
ischiadicus,https://www.nhm.ac.uk/discover/dino-directory/aragosaurus.html,26
tuberiferus,https://www.nhm.ac.uk/discover/dino-directory/aralosaurus.html,27
oshimai,https://www.nhm.ac.uk/discover/dino-directory/archaeoceratops.html,28
lithographica,https://www.nhm.ac.uk/discover/dino-directory/archaeopteryx.html,29
asiaticus,https://www.nhm.ac.uk/discover/dino-directory/archaeornithomimus.html,30
huinculensis,https://www.nhm.ac.uk/discover/dino-directory/argentinosaurus.html,31
brachyops,https://www.nhm.ac.uk/discover/dino-directory/arrhinoceratops.html,32
loadsi,https://www.nhm.ac.uk/discover/dino-directory/atlascopcosaurus.html,33
garridoi,https://www.nhm.ac.uk/discover/dino-directory/aucasaurus.html,34
mckillopi,https://www.nhm.ac.uk/discover/dino-directory/austrosaurus.html,35
lammersi,https://www.nhm.ac.uk/discover/dino-directory/avaceratops.html,36
portentosus,https://www.nhm.ac.uk/discover/dino-directory/avimimus.html,37
johnsoni,https://www.nhm.ac.uk/discover/dino-directory/bactrosaurus.html,38
rozhdestvenskyi,https://www.nhm.ac.uk/discover/dino-directory/bagaceratops.html,39
feinbergorum,https://www.nhm.ac.uk/discover/dino-directory/bambiraptor.html,40
tagorei,https://www.nhm.ac.uk/discover/dino-directory/barapasaurus.html,41
lentus,https://www.nhm.ac.uk/discover/dino-directory/barosaurus.html,42
walkeri,https://www.nhm.ac.uk/discover/dino-directory/baryonyx.html,43
altispinax,https://www.nhm.ac.uk/discover/dino-directory/becklespinax.html,44
inexpectus,https://www.nhm.ac.uk/discover/dino-directory/beipiaosaurus.html,45
sui,https://www.nhm.ac.uk/discover/dino-directory/bellusaurus.html,46
gracilicrus,https://www.nhm.ac.uk/discover/dino-directory/borogovia.html,47
altithorax,https://www.nhm.ac.uk/discover/dino-directory/brachiosaurus.html,48
canadensis,https://www.nhm.ac.uk/discover/dino-directory/brachylophosaurus.html,49
mesai,https://www.nhm.ac.uk/discover/dino-directory/brachytrachelopan.html,50
gonzalezorum,https://www.nhm.ac.uk/discover/dino-directory/buitreraptor.html,51
supremus,https://www.nhm.ac.uk/discover/dino-directory/camarasaurus.html,52
dispar,https://www.nhm.ac.uk/discover/dino-directory/camptosaurus.html,53
saharicus,https://www.nhm.ac.uk/discover/dino-directory/carcharodontosaurus.html,54
sastrei,https://www.nhm.ac.uk/discover/dino-directory/carnotaurus.html,55
zoui,https://www.nhm.ac.uk/discover/dino-directory/caudipteryx.html,56
bilbeyhallorum,https://www.nhm.ac.uk/discover/dino-directory/cedarpelta.html,57
,https://www.nhm.ac.uk/discover/dino-directory/centrosaurus.html,58
nasicornis,https://www.nhm.ac.uk/discover/dino-directory/ceratosaurus.html,59
stewarti,https://www.nhm.ac.uk/discover/dino-directory/cetiosauriscus.html,60
oxoniensis,https://www.nhm.ac.uk/discover/dino-directory/cetiosaurus.html,61
youngi,https://www.nhm.ac.uk/discover/dino-directory/chaoyangsaurus.html,62
,https://www.nhm.ac.uk/discover/dino-directory/chasmosaurus.html,63
bryansmalli,https://www.nhm.ac.uk/discover/dino-directory/chindesaurus.html,64
zhongheensis,https://www.nhm.ac.uk/discover/dino-directory/chinshakiangosaurus.html,65
pergracilis,https://www.nhm.ac.uk/discover/dino-directory/chirostenotes.html,66
insignis,https://www.nhm.ac.uk/discover/dino-directory/chubutisaurus.html,67
jiangbeiensis,https://www.nhm.ac.uk/discover/dino-directory/chungkingosaurus.html,68
osmolskae,https://www.nhm.ac.uk/discover/dino-directory/citipati.html,69
,https://www.nhm.ac.uk/discover/dino-directory/coelophysis.html,70
fragilis,https://www.nhm.ac.uk/discover/dino-directory/coelurus.html,71
brevis,https://www.nhm.ac.uk/discover/dino-directory/coloradisaurus.html,72
longipes,https://www.nhm.ac.uk/discover/dino-directory/compsognathus.html,73
gracilis,https://www.nhm.ac.uk/discover/dino-directory/conchoraptor.html,74
sanctus,https://www.nhm.ac.uk/discover/dino-directory/confuciusornis.html,75
casuarius,https://www.nhm.ac.uk/discover/dino-directory/corythosaurus.html,76
elliotti,https://www.nhm.ac.uk/discover/dino-directory/cryolophosaurus.html,77
armatus,https://www.nhm.ac.uk/discover/dino-directory/dacentrurus.html,78
torosus,https://www.nhm.ac.uk/discover/dino-directory/daspletosaurus.html,79
bashanensis,https://www.nhm.ac.uk/discover/dino-directory/datousaurus.html,80
mirificus,https://www.nhm.ac.uk/discover/dino-directory/deinocheirus.html,81
antirrhopus,https://www.nhm.ac.uk/discover/dino-directory/deinonychus.html,82
agilis,https://www.nhm.ac.uk/discover/dino-directory/deltadromeus.html,83
hansemanni,https://www.nhm.ac.uk/discover/dino-directory/dicraeosaurus.html,84
,https://www.nhm.ac.uk/discover/dino-directory/dilophosaurus.html,85
longus,https://www.nhm.ac.uk/discover/dino-directory/diplodocus.html,86
albertensis,https://www.nhm.ac.uk/discover/dino-directory/dromaeosaurus.html,87
brevitertius,https://www.nhm.ac.uk/discover/dino-directory/dromiceiomimus.html,88
altus,https://www.nhm.ac.uk/discover/dino-directory/dryosaurus.html,89
aquilunguis,https://www.nhm.ac.uk/discover/dino-directory/dryptosaurus.html,90
valesdunensis,https://www.nhm.ac.uk/discover/dino-directory/dubreuillosaurus.html,91
longiceps,https://www.nhm.ac.uk/discover/dino-directory/edmontonia.html,92
regalis,https://www.nhm.ac.uk/discover/dino-directory/edmontosaurus.html,93
procurvicornis,https://www.nhm.ac.uk/discover/dino-directory/einiosaurus.html,94
bambergi,https://www.nhm.ac.uk/discover/dino-directory/elaphrosaurus.html,95
ernsti,https://www.nhm.ac.uk/discover/dino-directory/emausaurus.html,96
caroljonesa,https://www.nhm.ac.uk/discover/dino-directory/eolambia.html,97
lunensis,https://www.nhm.ac.uk/discover/dino-directory/eoraptor.html,98
lengi,https://www.nhm.ac.uk/discover/dino-directory/eotyrannus.html,99
normani,https://www.nhm.ac.uk/discover/dino-directory/equijubus.html,100
ellisoni,https://www.nhm.ac.uk/discover/dino-directory/erketu.html,101
andrewsi,https://www.nhm.ac.uk/discover/dino-directory/erlikosaurus.html,102
zdanskyi,https://www.nhm.ac.uk/discover/dino-directory/euhelopus.html,103
,https://www.nhm.ac.uk/discover/dino-directory/euoplocephalus.html,104
holgeri,https://www.nhm.ac.uk/discover/dino-directory/europasaurus.html,105
oxoniensis,https://www.nhm.ac.uk/discover/dino-directory/eustreptospondylus.html,106
kitadaniensis,https://www.nhm.ac.uk/discover/dino-directory/fukuiraptor.html,107
tetoriensius,https://www.nhm.ac.uk/discover/dino-directory/fukuisaurus.html,108
bullatus,https://www.nhm.ac.uk/discover/dino-directory/gallimimus.html,109
parkpinorum,https://www.nhm.ac.uk/discover/dino-directory/gargoyleosaurus.html,110
brevipes,https://www.nhm.ac.uk/discover/dino-directory/garudimimus.html,111
constructus,https://www.nhm.ac.uk/discover/dino-directory/gasosaurus.html,112
cincosaltensis,https://www.nhm.ac.uk/discover/dino-directory/gasparinisaura.html,113
burgei,https://www.nhm.ac.uk/discover/dino-directory/gastonia.html,114
carolinii,https://www.nhm.ac.uk/discover/dino-directory/giganotosaurus.html,115
mongoliensis,https://www.nhm.ac.uk/discover/dino-directory/gilmoreosaurus.html,116
brancai,https://www.nhm.ac.uk/discover/dino-directory/giraffatitan.html,117
domoculus,https://www.nhm.ac.uk/discover/dino-directory/gobisaurus.html,118
libratus,https://www.nhm.ac.uk/discover/dino-directory/gorgosaurus.html,119
lattimorei,https://www.nhm.ac.uk/discover/dino-directory/goyocephale.html,120
mongoliensis,https://www.nhm.ac.uk/discover/dino-directory/graciliceratops.html,121
notabilis,https://www.nhm.ac.uk/discover/dino-directory/gryposaurus.html,122
candelariensis,https://www.nhm.ac.uk/discover/dino-directory/guaibasaurus.html,123
wucaii,https://www.nhm.ac.uk/discover/dino-directory/guanlong.html,124
foulkii,https://www.nhm.ac.uk/discover/dino-directory/hadrosaurus.html,125
giganteus,https://www.nhm.ac.uk/discover/dino-directory/hagryphus.html,126
priscus,https://www.nhm.ac.uk/discover/dino-directory/haplocanthosaurus.html,127
okladnikovi,https://www.nhm.ac.uk/discover/dino-directory/harpymimus.html,128
ischigualastensis,https://www.nhm.ac.uk/discover/dino-directory/herrerasaurus.html,129
mjosi,https://www.nhm.ac.uk/discover/dino-directory/hesperosaurus.html,130
tucki,https://www.nhm.ac.uk/discover/dino-directory/heterodontosaurus.html,131
yanshini,https://www.nhm.ac.uk/discover/dino-directory/heyuannia.html,132
calathocercos,https://www.nhm.ac.uk/discover/dino-directory/homalocephale.html,133
taibaii,https://www.nhm.ac.uk/discover/dino-directory/huayangosaurus.html,134
armatus,https://www.nhm.ac.uk/discover/dino-directory/hylaeosaurus.html,135
altispinus,https://www.nhm.ac.uk/discover/dino-directory/hypacrosaurus.html,136
foxii,https://www.nhm.ac.uk/discover/dino-directory/hypsilophodon.html,137
bernissartensis,https://www.nhm.ac.uk/discover/dino-directory/iguanodon.html,138
raptorius,https://www.nhm.ac.uk/discover/dino-directory/indosuchus.html,139
challengeri,https://www.nhm.ac.uk/discover/dino-directory/irritator.html,140
colberti,https://www.nhm.ac.uk/discover/dino-directory/isisaurus.html,141
robusta,https://www.nhm.ac.uk/discover/dino-directory/janenschia.html,142
aralensis,https://www.nhm.ac.uk/discover/dino-directory/jaxartosaurus.html,143
xinwaensis,https://www.nhm.ac.uk/discover/dino-directory/jingshanosaurus.html,144
yangi,https://www.nhm.ac.uk/discover/dino-directory/jinzhousaurus.html,145
tiguidensis,https://www.nhm.ac.uk/discover/dino-directory/jobaria.html,146
starki,https://www.nhm.ac.uk/discover/dino-directory/juravenator.html,147
aethiopicus,https://www.nhm.ac.uk/discover/dino-directory/kentrosaurus.html,148
mckennai,https://www.nhm.ac.uk/discover/dino-directory/khaan.html,149
yamanpalliensis,https://www.nhm.ac.uk/discover/dino-directory/kotasaurus.html,150
navajovius,https://www.nhm.ac.uk/discover/dino-directory/kritosaurus.html,151
lambei,https://www.nhm.ac.uk/discover/dino-directory/lambeosaurus.html,152
madagascariensis,https://www.nhm.ac.uk/discover/dino-directory/lapparentosaurus.html,153
amicagraphica,https://www.nhm.ac.uk/discover/dino-directory/leaellynasaura.html,154
gracilis,https://www.nhm.ac.uk/discover/dino-directory/leptoceratops.html,155
diagnosticus,https://www.nhm.ac.uk/discover/dino-directory/lesothosaurus.html,156
yanzigouensis,https://www.nhm.ac.uk/discover/dino-directory/liaoceratops.html,157
leanzai,https://www.nhm.ac.uk/discover/dino-directory/ligabuesaurus.html,158
liliensterni,https://www.nhm.ac.uk/discover/dino-directory/liliensternus.html,159
atopus,https://www.nhm.ac.uk/discover/dino-directory/lophorhothon.html,160
airelensis,https://www.nhm.ac.uk/discover/dino-directory/lophostropheus.html,161
huenei,https://www.nhm.ac.uk/discover/dino-directory/lufengosaurus.html,162
arenatus,https://www.nhm.ac.uk/discover/dino-directory/lurdusaurus.html,163
angustidens,https://www.nhm.ac.uk/discover/dino-directory/lycorhinus.html,164
dacus,https://www.nhm.ac.uk/discover/dino-directory/magyarosaurus.html,165
peeblesorum,https://www.nhm.ac.uk/discover/dino-directory/maiasaura.html,166
atopus,https://www.nhm.ac.uk/discover/dino-directory/majungasaurus.html,167
dixeyi,https://www.nhm.ac.uk/discover/dino-directory/malawisaurus.html,168
constructus,https://www.nhm.ac.uk/discover/dino-directory/mamenchisaurus.html,169
roseae,https://www.nhm.ac.uk/discover/dino-directory/mapusaurus.html,170
bicentesimus,https://www.nhm.ac.uk/discover/dino-directory/marshosaurus.html,171
knopfleri,https://www.nhm.ac.uk/discover/dino-directory/masiakasaurus.html,172
carinatus,https://www.nhm.ac.uk/discover/dino-directory/massospondylus.html,173
topai,https://www.nhm.ac.uk/discover/dino-directory/maxakalisaurus.html,174
bucklandii,https://www.nhm.ac.uk/discover/dino-directory/megalosaurus.html,175
readi,https://www.nhm.ac.uk/discover/dino-directory/melanorosaurus.html,176
parkeri,https://www.nhm.ac.uk/discover/dino-directory/metriacanthosaurus.html,177
gobiensis,https://www.nhm.ac.uk/discover/dino-directory/microceratus.html,178
hongtuyanensis,https://www.nhm.ac.uk/discover/dino-directory/micropachycephalosaurus.html,179
zhaoianus,https://www.nhm.ac.uk/discover/dino-directory/microraptor.html,180
paravertebra,https://www.nhm.ac.uk/discover/dino-directory/minmi.html,181
jiangi,https://www.nhm.ac.uk/discover/dino-directory/monolophosaurus.html,182
olecranus,https://www.nhm.ac.uk/discover/dino-directory/mononykus.html,183
patagonicus,https://www.nhm.ac.uk/discover/dino-directory/mussaurus.html,184
langdoni,https://www.nhm.ac.uk/discover/dino-directory/muttaburrasaurus.html,185
brevispinus,https://www.nhm.ac.uk/discover/dino-directory/nanshiungosaurus.html,186
hatcheri,https://www.nhm.ac.uk/discover/dino-directory/nedoceratops.html,187
mongoliensis,https://www.nhm.ac.uk/discover/dino-directory/nemegtosaurus.html,188
salerii,https://www.nhm.ac.uk/discover/dino-directory/neovenator.html,189
australis,https://www.nhm.ac.uk/discover/dino-directory/neuquenosaurus.html,190
taqueti,https://www.nhm.ac.uk/discover/dino-directory/nigersaurus.html,191
sachalinensis,https://www.nhm.ac.uk/discover/dino-directory/nipponosaurus.html,192
leali,https://www.nhm.ac.uk/discover/dino-directory/noasaurus.html,193
textilis,https://www.nhm.ac.uk/discover/dino-directory/nodosaurus.html,194
gobiensis,https://www.nhm.ac.uk/discover/dino-directory/nomingia.html,195
mckinleyi,https://www.nhm.ac.uk/discover/dino-directory/nothronychus.html,196
thwazi,https://www.nhm.ac.uk/discover/dino-directory/nqwebasaurus.html,197
junghsiensis,https://www.nhm.ac.uk/discover/dino-directory/omeisaurus.html,198
skarzynskii ,https://www.nhm.ac.uk/discover/dino-directory/opisthocoelicaudia.html,199
hermanni,https://www.nhm.ac.uk/discover/dino-directory/ornitholestes.html,200
velox,https://www.nhm.ac.uk/discover/dino-directory/ornithomimus.html,201
makelai,https://www.nhm.ac.uk/discover/dino-directory/orodromeus.html,202
cubicularis,https://www.nhm.ac.uk/discover/dino-directory/oryctodromeus.html,203
rex,https://www.nhm.ac.uk/discover/dino-directory/othnielia.html,204
nigeriensis,https://www.nhm.ac.uk/discover/dino-directory/ouranosaurus.html,205
philoceratops,https://www.nhm.ac.uk/discover/dino-directory/oviraptor.html,206
wyomingensis,https://www.nhm.ac.uk/discover/dino-directory/pachycephalosaurus.html,207
canadensis,https://www.nhm.ac.uk/discover/dino-directory/pachyrhinosaurus.html,208
mirus,https://www.nhm.ac.uk/discover/dino-directory/panoplosaurus.html,209
caducus,https://www.nhm.ac.uk/discover/dino-directory/pantydraco.html,210
stromeri,https://www.nhm.ac.uk/discover/dino-directory/paralititan.html,211
walkeri,https://www.nhm.ac.uk/discover/dino-directory/parasaurolophus.html,212
warrenae,https://www.nhm.ac.uk/discover/dino-directory/parksosaurus.html,213
fariasi,https://www.nhm.ac.uk/discover/dino-directory/patagosaurus.html,214
polyodon,https://www.nhm.ac.uk/discover/dino-directory/pelicanimimus.html,215
conybearei,https://www.nhm.ac.uk/discover/dino-directory/pelorosaurus.html,216
sternbergi,https://www.nhm.ac.uk/discover/dino-directory/pentaceratops.html,217
floresi,https://www.nhm.ac.uk/discover/dino-directory/piatnitzkysaurus.html,218
grangeri,https://www.nhm.ac.uk/discover/dino-directory/pinacosaurus.html,219
engelhardti,https://www.nhm.ac.uk/discover/dino-directory/plateosaurus.html,220
holyokensis,https://www.nhm.ac.uk/discover/dino-directory/podokesaurus.html,221
bucklandii,https://www.nhm.ac.uk/discover/dino-directory/poekilopleuron.html,222
foxii,https://www.nhm.ac.uk/discover/dino-directory/polacanthus.html,223
prenes,https://www.nhm.ac.uk/discover/dino-directory/prenocephale.html,224
gobiensis,https://www.nhm.ac.uk/discover/dino-directory/probactrosaurus.html,225
bradleyi,https://www.nhm.ac.uk/discover/dino-directory/proceratosaurus.html,226
triassicus,https://www.nhm.ac.uk/discover/dino-directory/procompsognathus.html,227
maximus,https://www.nhm.ac.uk/discover/dino-directory/prosaurolophus.html,228
robusta,https://www.nhm.ac.uk/discover/dino-directory/protarchaeopteryx.html,229
andrewsi,https://www.nhm.ac.uk/discover/dino-directory/protoceratops.html,230
byrdi,https://www.nhm.ac.uk/discover/dino-directory/protohadros.html,231
mongoliensis,https://www.nhm.ac.uk/discover/dino-directory/psittacosaurus.html,232
orientalis,https://www.nhm.ac.uk/discover/dino-directory/quaesitosaurus.html,233
garasbae,https://www.nhm.ac.uk/discover/dino-directory/rebbachisaurus.html,234
priscus,https://www.nhm.ac.uk/discover/dino-directory/rhabdodon.html,235
brownei,https://www.nhm.ac.uk/discover/dino-directory/rhoetosaurus.html,236
mongoliensis,https://www.nhm.ac.uk/discover/dino-directory/rinchenia.html,237
incertus,https://www.nhm.ac.uk/discover/dino-directory/riojasaurus.html,238
primus,https://www.nhm.ac.uk/discover/dino-directory/rugops.html,239
chulsanensis,https://www.nhm.ac.uk/discover/dino-directory/saichania.html,240
loricatus,https://www.nhm.ac.uk/discover/dino-directory/saltasaurus.html,241
elginensis,https://www.nhm.ac.uk/discover/dino-directory/saltopus.html,242
woodi,https://www.nhm.ac.uk/discover/dino-directory/sarcosaurus.html,243
osborni,https://www.nhm.ac.uk/discover/dino-directory/saurolophus.html,244
edwardsorum,https://www.nhm.ac.uk/discover/dino-directory/sauropelta.html,245
maximus,https://www.nhm.ac.uk/discover/dino-directory/saurophaganax.html,246
mongoliensis,https://www.nhm.ac.uk/discover/dino-directory/saurornithoides.html,247
harrisonii,https://www.nhm.ac.uk/discover/dino-directory/scelidosaurus.html,248
lawleri,https://www.nhm.ac.uk/discover/dino-directory/scutellosaurus.html,249
koerneri,https://www.nhm.ac.uk/discover/dino-directory/secernosaurus.html,250
halli,https://www.nhm.ac.uk/discover/dino-directory/segisaurus.html,251
galbinensis,https://www.nhm.ac.uk/discover/dino-directory/segnosaurus.html,252
scutatus,https://www.nhm.ac.uk/discover/dino-directory/shamosaurus.html,253
ashile,https://www.nhm.ac.uk/discover/dino-directory/shanag.html,254
giganteus,https://www.nhm.ac.uk/discover/dino-directory/shantungosaurus.html,255
lii,https://www.nhm.ac.uk/discover/dino-directory/shunosaurus.html,256
deserti,https://www.nhm.ac.uk/discover/dino-directory/shuvuuia.html,257
condrayi,https://www.nhm.ac.uk/discover/dino-directory/silvisaurus.html,258
gigas,https://www.nhm.ac.uk/discover/dino-directory/sinocalliopteryx.html,259
millenii,https://www.nhm.ac.uk/discover/dino-directory/sinornithosaurus.html,260
prima,https://www.nhm.ac.uk/discover/dino-directory/sinosauropteryx.html,261
changii,https://www.nhm.ac.uk/discover/dino-directory/sinovenator.html,262
hepingensis,https://www.nhm.ac.uk/discover/dino-directory/sinraptor.html,263
saihangaobiensis,https://www.nhm.ac.uk/discover/dino-directory/sonidosaurus.html,264
aegyptiacus,https://www.nhm.ac.uk/discover/dino-directory/spinosaurus.html,265
pricei,https://www.nhm.ac.uk/discover/dino-directory/staurikosaurus.html,266
validum,https://www.nhm.ac.uk/discover/dino-directory/stegoceras.html,267
armatus,https://www.nhm.ac.uk/discover/dino-directory/stegosaurus.html,268
valdensis,https://www.nhm.ac.uk/discover/dino-directory/stenopelix.html,269
altus,https://www.nhm.ac.uk/discover/dino-directory/struthiomimus.html,270
austriacus,https://www.nhm.ac.uk/discover/dino-directory/struthiosaurus.html,271
albertensis,https://www.nhm.ac.uk/discover/dino-directory/styracosaurus.html,272
tenerensis,https://www.nhm.ac.uk/discover/dino-directory/suchomimus.html,273
vivianae,https://www.nhm.ac.uk/discover/dino-directory/supersaurus.html,274
plicatospineus,https://www.nhm.ac.uk/discover/dino-directory/talarurus.html,275
sinensis,https://www.nhm.ac.uk/discover/dino-directory/tanius.html,276
bataar,https://www.nhm.ac.uk/discover/dino-directory/tarbosaurus.html,277
gigantea,https://www.nhm.ac.uk/discover/dino-directory/tarchia.html,278
transsylvanicus,https://www.nhm.ac.uk/discover/dino-directory/telmatosaurus.html,279
tillettorum,https://www.nhm.ac.uk/discover/dino-directory/tenontosaurus.html,280
antiquus,https://www.nhm.ac.uk/discover/dino-directory/thecodontosaurus.html,281
cheloniformis,https://www.nhm.ac.uk/discover/dino-directory/therizinosaurus.html,282
neglectus,https://www.nhm.ac.uk/discover/dino-directory/thescelosaurus.html,283
latus,https://www.nhm.ac.uk/discover/dino-directory/torosaurus.html,284
tanneri,https://www.nhm.ac.uk/discover/dino-directory/torvosaurus.html,285
horridus,https://www.nhm.ac.uk/discover/dino-directory/triceratops.html,286
formosus,https://www.nhm.ac.uk/discover/dino-directory/troodon.html,287
longicranialis,https://www.nhm.ac.uk/discover/dino-directory/tsagantegia.html,288
spinorhinus,https://www.nhm.ac.uk/discover/dino-directory/tsintaosaurus.html,289
multispinus,https://www.nhm.ac.uk/discover/dino-directory/tuojiangosaurus.html,290
gilmorei,https://www.nhm.ac.uk/discover/dino-directory/tylocephale.html,291
rex,https://www.nhm.ac.uk/discover/dino-directory/tyrannosaurus.html,292
tschizhovi,https://www.nhm.ac.uk/discover/dino-directory/udanoceratops.html,293
comahuensis,https://www.nhm.ac.uk/discover/dino-directory/unenlagia.html,294
itemirensis,https://www.nhm.ac.uk/discover/dino-directory/urbacodon.html,295
ostrommaysorum,https://www.nhm.ac.uk/discover/dino-directory/utahraptor.html,296
canaliculatus,https://www.nhm.ac.uk/discover/dino-directory/valdosaurus.html,297
mongoliensis,https://www.nhm.ac.uk/discover/dino-directory/velociraptor.html,298
karibaensis,https://www.nhm.ac.uk/discover/dino-directory/vulcanodon.html,299
hongheensis,https://www.nhm.ac.uk/discover/dino-directory/yandusaurus.html,300
shangyouensis,https://www.nhm.ac.uk/discover/dino-directory/yangchuanosaurus.html,301
youngi,https://www.nhm.ac.uk/discover/dino-directory/yimenosaurus.html,302
jichuanensis,https://www.nhm.ac.uk/discover/dino-directory/yingshanosaurus.html,303
downsi,https://www.nhm.ac.uk/discover/dino-directory/yinlong.html,304
jiangyiensis,https://www.nhm.ac.uk/discover/dino-directory/yuanmousaurus.html,305
huangi,https://www.nhm.ac.uk/discover/dino-directory/yunnanosaurus.html,306
robustus,https://www.nhm.ac.uk/discover/dino-directory/zalmoxes.html,307
schaffi,https://www.nhm.ac.uk/discover/dino-directory/zephyrosaurus.html,308
christopheri,https://www.nhm.ac.uk/discover/dino-directory/zuniceratops.html,309
